"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"APOBEC3H",1.03604997512444e-05,1.22958641662178,0.386,0.175,0.232240962423895,"27: GZMK+ CD8 T cell"
"SUMO2",1.08931923925689e-05,0.309148303090248,0.915,0.882,0.244181800671825,"27: GZMK+ CD8 T cell"
"OAZ1",1.15525772905809e-05,0.205145169362139,0.985,0.966,0.258962572545662,"27: GZMK+ CD8 T cell"
"TMEM63A",1.16023770121401e-05,-1.82519088140344,0.059,0.147,0.260078883104133,"27: GZMK+ CD8 T cell"
"FAM8A1",1.17658465946952e-05,1.03497867171396,0.228,0.092,0.263743217266689,"27: GZMK+ CD8 T cell"
"TBC1D2B",1.35128042436794e-05,0.457989816339194,0.699,0.488,0.302903019926317,"27: GZMK+ CD8 T cell"
"U2AF1",1.36988858671126e-05,0.47593549837963,0.574,0.382,0.307074225597197,"27: GZMK+ CD8 T cell"
"LRBA",1.45630039891959e-05,0.389832284217929,0.673,0.46,0.326444297421816,"27: GZMK+ CD8 T cell"
"CCNI",1.49830552122421e-05,-0.356095610722738,0.846,0.848,0.335860165637618,"27: GZMK+ CD8 T cell"
"ANP32B",1.57630522902664e-05,-0.263181822656026,0.676,0.669,0.353344580138611,"27: GZMK+ CD8 T cell"
"TALAM1",1.57989675756745e-05,0.0112833616356292,0.632,0.487,0.354149657176321,"27: GZMK+ CD8 T cell"
"ATP5MK",1.60181934092755e-05,0.503281099771483,0.559,0.373,0.359063823462319,"27: GZMK+ CD8 T cell"
"ARHGAP25",1.65794242207174e-05,0.393560143343611,0.691,0.472,0.3716443733316,"27: GZMK+ CD8 T cell"
"ACTG1",1.77222409577163e-05,0.688587314701677,0.967,0.893,0.397261753308169,"27: GZMK+ CD8 T cell"
"C16orf74",1.81407308819823e-05,-3.6360273600521,0.004,0.046,0.406642623450515,"27: GZMK+ CD8 T cell"
"MAL",1.9053189501581e-05,-3.19211117797675,0.007,0.069,0.427096295867441,"27: GZMK+ CD8 T cell"
"H2AZ1",2.00723224521403e-05,0.400542992156631,0.449,0.301,0.449941180087178,"27: GZMK+ CD8 T cell"
"SLAMF7",2.00990085680524e-05,0.666752898758473,0.375,0.199,0.450539376061463,"27: GZMK+ CD8 T cell"
"RPL11",2.01132323435876e-05,-0.209090864885983,1,0.998,0.450858216213861,"27: GZMK+ CD8 T cell"
"ARPC2",2.01764105013823e-05,0.356155455906112,0.978,0.941,0.452274417798987,"27: GZMK+ CD8 T cell"
"TNFRSF25",2.02191147645042e-05,-1.60068832137605,0.055,0.13,0.453231676561127,"27: GZMK+ CD8 T cell"
"APOBEC3F",2.06734825360246e-05,0.784283771092243,0.353,0.169,0.463416784527527,"27: GZMK+ CD8 T cell"
"RASGEF1B",2.07962897000124e-05,0.53546876000475,0.548,0.362,0.466169629915477,"27: GZMK+ CD8 T cell"
"BEX2",2.08232323701799e-05,-3.08172132381452,0.015,0.081,0.466773576809952,"27: GZMK+ CD8 T cell"
"H2AFZ",2.10433334465735e-05,-0.559878721747119,0.213,0.329,0.471707362538392,"27: GZMK+ CD8 T cell"
"RPL27",2.31674885368002e-05,-0.255824006845859,0.952,0.965,0.519322423040913,"27: GZMK+ CD8 T cell"
"H3F3B",2.34884588323892e-05,-0.440033958212152,0.309,0.442,0.526517293186836,"27: GZMK+ CD8 T cell"
"RUNX1",2.43958254583147e-05,0.529475931547624,0.585,0.393,0.546856823473582,"27: GZMK+ CD8 T cell"
"STAT4",2.4956973432746e-05,0.391822917708931,0.71,0.537,0.559435516468433,"27: GZMK+ CD8 T cell"
"LINC-PINT",2.66810420915168e-05,0.433915866355297,0.665,0.504,0.598082239523442,"27: GZMK+ CD8 T cell"
"ARHGAP9",2.80690262892524e-05,0.341120744411387,0.812,0.661,0.629195293299882,"27: GZMK+ CD8 T cell"
