"CD45RO","FAS","annotation","plot_group","source","facet"
0,0.6710249829813,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.755761662203942,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.323730720429292,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,1.5132405804182,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,0.00201948257107309,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.980361983884905,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.99667888526444,0.492996761327468,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.4227956465138,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.248135195825904,3.28400871655171,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.25808073308059,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.514535314687246,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.887048934603634,1.74421819180141,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,1.04353914260629,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.73555514969158,0.131363514021863,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.831274075138127,0.533425319427617,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.727467731399864,2.12149910292789,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
2.10585394260546,0.515445979458507,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.815355972015857,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.19447375962721,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.410624411977766,1.7941585829777,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.673932636375712,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.185591051323606,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,2.11921395499445,"Tscm CD8","Tscm CD8","5","Source cluster 5"
0.432440923906477,1.1276279025654,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.35364287573335,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,1.73112225152205,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.26932998904421,0.162695150666277,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0613176085847966,0.950097425357577,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.28082536549765,1.06270765796106,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
2.22435929119699,1.96359240441758,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
1.50080515785221,0.37977069102526,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.747546742151183,1.9961046154329,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
2.06254352546163,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.179031519082287,1.18879680826373,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.17718157142532,0.875926063649282,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
2.18841827212878,0.69304755548296,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.555497672131692,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.55419485134525,1.01804971463945,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.105462229956235,0.010300302643889,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.15508732412605,1.12604206957561,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.136799847474874,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.97128784035361,1.49992972300019,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.949515244432115,0.438884328935465,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.86561052677525,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.986814026854063,2.1000215998942,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,2.58619654095785,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.96582001189066,1.19151952706149,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.524877514788237,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.72372299109765,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.09459452590483,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,1.36212361835994,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,0.192928812960743,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.58331530227567,0.807360827935927,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.254203553100556,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
2.20972423158525,1.98106502487718,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,1.27902006830165,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.10779524222648,2.63238623606638,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.697824080670224,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.29865755457982,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.405173366626717,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.317483297496903,2.50711962412108,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.936729008388844,2.58519042201706,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,2.16329604408525,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.91243708323855,0.0764060738488648,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,3.57755837410893,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.646058688474797,0.885752555232676,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.663028491585715,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.4091544595502,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,1.81280190901849,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.86862767048801,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.690803013460419,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.0146478542249597,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.406533803357466,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.518372689660517,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.67890310263587,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.494461918263708,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.376817056209343,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.437713058223723,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.366030135752831,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.236357791514916,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.831266942079963,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.245140220750402,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.209271398708931,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
1.09102656892869,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.455587593597431,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.139925805361609,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.631780207275443,0.597718123973073,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.239684054903437,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.0995799811826736,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
1.52866105186057,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.556174283388216,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.632651010108188,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.394757942648082,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.16907344479816,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.0013448016370905,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.423727523455616,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.311702885749712,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.173093801621719,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.497173070777275,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.0820364826193938,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.614915971120981,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
